DISTRICT, KURAKKAN AREA Hect., KURAKKAN PROD M.T.,MAIZE AREA Hect.,MAIZE PROD M.T.,SORGHUM AREA Hect.,SORGHUM PROD M.T., MENERI AREA Hect., MENERI PROD M.T.,GREEN GRAM AREA Hect.,GREEN GRAM PROD M.T.,COWPEA AREA Hect.,COWPEA PROD M.T.,SOYA BEANS AREA Hect.,SOYA BEANS PROD M.T.,BLACK GRAM AREA Hect.,BLACK GRAM PROD M.T.,DHALL GRAM AREA Hect.,DHALL GRAM PROD M.T.,GINGELLY AREA Hect.,GINGELLY PROD M.T.,GROUND NUTS AREA Hect.,GROUND NUTS PROD M.T.,MANIOC AREA Hect.,MANIOC PROD M.T.,SWEET POTATOES AREA Hect.,SWEET POTATOES PROD M.T.,POTATOES AREA Hect.,POTATOES PROD M.T.,RED ONIONS AREA Hect.,RED ONIONS PROD M.T., BIG ONIONS AREA Hect., BIG ONIONS PROD M.T.,CHILLIES (GREEN) AREA Hect.,CHILLIES (GREEN) PROD M.T.,MUSTARD AREA Hect.,MUSTARD PROD M.T.,GINGER (RAW) AREA Hect.,GINGER (RAW) PROD M.T.,TURMERIC (RAW) AREA Hect.,TURMERIC (RAW) PROD M.T.,CIGAR.  TOBAC. AREA Hect.,CIGAR.  TOBAC. PROD M.T.,BEEDI/CHEW. TOBAC. AREA Hect.,BEEDI/CHEW. TOBAC. PROD M.T.,,,,,LUFFA AREA Hect.,LUFFA PROD M.T.,BANDAKKA AREA Hect.,BANDAKKA PROD M.T.,BRINJALS AREA Hect.,BRINJALS PROD M.T.,BITTER GOURD AREA Hect.,BITTER GOURD PROD M.T.,SNAKE GOURD AREA Hect.,SNAKE GOURD PROD M.T.,TOMATOES AREA Hect.,TOMATOES PROD M.T.,CUCUMBER AREA Hect.,CUCUMBER PROD M.T.,CABBAGE AREA Hect.,CABBAGE PROD M.T.,CARROT AREA Hect.,CARROT PROD M.T.,KNOLKHOL AREA Hect.,KNOLKHOL PROD M.T.,BEETROOT AREA Hect.,BEETROOT PROD M.T.,RADISH AREA Hect.,RADISH PROD M.T.,BEANS AREA Hect.,BEANS PROD M.T.,LEEKS AREA Hect.,LEEKS PROD M.T.,ASH PUMPKIN AREA Hect.,ASH PUMPKIN PROD M.T.,RED PUMPKIN AREA Hect.,RED PUMPKIN PROD M.T.,ASH PLANTAIN AREA Hect.,ASH PLANTAIN PROD M.T.,CAPSICUM AREA Hect.,CAPSICUM PROD M.T., LONG BEAN AREA Hect.,LONG BEAN PROD M.T.,EGG PLANT  AREA Hect.,EGG PLANT PROD M.T., WINGED BEAN AREA Hect.,WINGED BEAN PROD M.T., VATANA AREA Hect.,VATANA PROD M.T., GHERKIN AREA Hect.,GHERKIN PROD M.T.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOMBO ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259.89,2882,23.86,159,0,0,0,0,0,0,31.28,73,0,0,85.48,992,8.81,82,0,0,0,0,0,0,0,0,37.77,368,61.71,674,91.07,1227,33.39,450,42.2,613,3.4,38,32.15,413,11.4,85,0,0,0,0,0,0,15.9,58,0,0,0,0,0.98,5,2.52,34,36.56,482,8.83,40,0,0,0,0,0,0,0,0,0,0
GAMPAHA ,0,0,0.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1054.08,10774,132.69,1012,0,0,0,0,0,0,136.94,345,0,0,285.85,2293,92.83,986,0,0,0,0,8.45,72,1.2,12,105.91,732,147.45,1078,143.75,1481,74.14,677,66.1,654,33.25,214,13.8,149,1.04,5,0,0,0,0,0,0,31.18,149,3.99,15,0,0,1.28,9,12.52,99,158.91,1550,60.6,166,27.89,210,0.9,7,3.92,22,0,0,0,0
KALUTARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,539.06,6875,112.3,944,0,0,0,0,0,0,107.28,354,0,0,112.98,806,29.78,229,0,0,0,0,0,0,0,0,101.85,766,152.33,966,179.59,1272,84.71,454,88.36,528,11.231,57,34.01,297,0,0,0,0,0,0,0,0,29.56,261,0,0,0,0,1,7,0.76,6,76.92,580,30.66,143,14.8,296,0,0,0,0,0,0,0,0
KANDY,120.7,207,205,584,8,11,0,0,30.1,53,23.7,38,0.6,1,0,0,0,0,30.3,18,2.4,3,520.6,7445,136.9,936,0,0,33,401,0,0,156.1,733,3.6,6,431.4,3076,391.9,3394,70,125,0,0,0,0,0,0,97.7,1154,119.6,1790,218.3,2827,142.8,1648,86.1,1311,525,5814,60.7,630,206.2,3504,60,708,51.3,526,37.4,561,128.5,1447,602.8,2765,40.3,377,3.24,52,85.3,1318,111.2,1410,64.6,323,0,0,0,0,0,0,0,0,0,0
MATALE,145.584136,273,287.8141967,749,4.65398624,8,0,0,33.78790368,60,33.38790368,50,11.12909753,15,5.868069607,9,0,0,20.04852691,15,53.81966815,116,338.5489518,3418,283.1836949,1562,0,0,4.326147309,24,12.05989478,125,196.5956495,832,8.498583569,5,45.81141238,240,88.3650344,828,6.070416835,7,12.54552813,20,9.713472278,15,5.362201538,5,101.7033832,797,114.4435087,726,129.9494172,670,68.91843788,498,55.94614731,434,183.0056657,1400,61.7130433,570,51.63573452,543,3.844597329,31,23.00871307,131,13.85609065,110,20.35204775,221,389.0752206,2009,2.225819506,16,1.497369486,12,121.1465075,1070,53.46197086,412,41.68414002,138,62.73130716,406,2.627041684,16,58.90511129,243,0,0,0,0
NUWARA ELIYA,215,140,212,201,3,2,0,0,1,1,31,34,20,22,1,1,0,0,5,6,0,0,261,4180,81,1081,309,4482,83,493,0,0,258,883,11,12,167,784,159,683,29,28,0,0,24,236,30,148,158,932,60,213,112,675,261,2084,36,412,653,7390,228,2367,676,13344,886,10009,297,3078,659,8146,502,7448,640,2063,642,10880,18,19,133,2130,17,99,306,1261,0,0,0,0,0,0,0,0,0,0
GALLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023.56,13030,207.97,1528,0,0,0,0,0,0,63.8,237,0,0,101.37,723,40.59,275,0,0,0,0,45.08,397,47.77,437,332.03,1992,213.07,1760,201.45,2060,84.67,713,83.59,752,26.84,180,23.33,165,0,0,0,0,0,0,0,0,79.7,822,0,0,0,0,6.41,68,4.38,41,232.45,2835,62.35,234,54.78,304,14.75,58,15.86,83,0,0,0,0
MATARA ,6.4,8,7.93,10,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,457.75,4541,158.01,1122,0,0,0,0,0,0,109.63,242,0,0,95.51,669,68.41,373,0,0,0,0,25.33,73,0,0,47.78,214,127.91,617,162.63,1594,72.45,530,46.99,510,27.16,177,8.61,63,0,0,0,0,0,0,0,0,93.12,961,3.64,25,0,0,3.21,17,10.7,112,236.28,1644,52.81,181,48.34,1228,25.2,143,22.51,70,0,0,0,0
HAMBANTOTA,463,573,598,1046,7,11,0,0,1016,1452,367,440,0,0,0,0,0,0,359,338,318,472,521,6760,64,527,0,0,37,370,32,74,615,2220,0,0,18,192,18,192,8,20,0,0,27,237,0,0,264,3460,305,3164,504,6841,213,3021,176,2535,277,3081,241,2867,0,0,0,0,0,0,0,0,54,690,0,0,0,0,31,459,362,5266,406,6191,14,42,449,6269,34,649,15,112,2,30,6,128
