DISTRICT,KURAKKAN Area Hec. ,KURAKKAN Prod. M.T. ,MAIZE Area Hec. ,MAIZE Prod. M.T. ,SORGHUM Area Hec. ,SORGHUM Prod. M.T. ,MENERI Area Hec. ,MENERI Prod. M.T. ,GREEN GRAM Area Hec. ,GREEN GRAM Prod. M.T. ,COWPEA Area Hec. ,COWPEA Prod. M.T. ,SOYA BEANS Area Hec. ,SOYA BEANS Prod. M.T. ,BLACK GRAM Area Hec. ,BLACK GRAM Prod. M.T. ,DHALL Area Hec. ,DHALL Prod. M.T. ,GINGELLY Area Hec. ,GINGELLY Prod. M.T. ,GROUND NUTS Area Hec. ,GROUND NUTS Prod. M.T. ,MANIOC Area Hec. ,MANIOC Prod. M.T. ,SWEET POTATOES Area Hec. ,SWEET POTATOES Prod. M.T. ,POTATOES Area Hec. ,POTATOES Prod. M.T. ,RED ONIONS Area Hec. ,RED ONIONS Prod. M.T. ,BIG ONIONS Area Hec. ,BIG ONIONS Prod. M.T. ,CHILLIES (GREEN) Area Hec. ,CHILLIES (GREEN) Prod. M.T. ,MUSTERD Area Hec. ,MUSTERD Prod. M.T. ,CIGAR. TOBACCO Area Hec. ,CIGAR. TOBACCO Prod. M.T. ,BEEDI/CIGAR TOBA Area Hec. ,BEEDI/CIGAR TOBA Prod. M.T. ,LUFFA Area Hec. ,LUFFA Prod. M.T. ,BANDAKKA Area Hec. ,BANDAKKA Prod. M.T. ,BRINJALS Area Hec. ,BRINJALS Prod. M.T. ,BITTER GOURD Area Hec. ,BITTER GOURD Prod. M.T. ,SNAKE GOURD Area Hec. ,SNAKE GOURD Prod. M.T. ,TOMATOES Area Hec. ,TOMATOES Prod. M.T. ,CUCUMBER Area Hec. ,CUCUMBER Prod. M.T. ,CABBAGE Area Hec. ,CABBAGE Prod. M.T. ,CARROT Area Hec. ,CARROT Prod. M.T. ,KNOLKHOL Area Hec. ,KNOLKHOL Prod. M.T. ,BEETROOT Area Hec. ,BEETROOT Prod. M.T. ,RADDISH Area Hec. ,RADDISH Prod. M.T. ,BEANS Area Hec. ,BEANS Prod. M.T. ,LEEKS Area Hec. ,LEEKS Prod. M.T. ,ASH PUMPKIN Area Hec. ,ASH PUMPKIN Prod. M.T. ,RED PUMPKIN Area Hec. ,RED PUMPKIN Prod. M.T. ,ASH PLANTAIN Area Hec. ,ASH PLANTAIN Prod. M.T. ,CAPSICUM Area Hec. ,CAPSICUM Prod. M.T. ,CINNAMON Area Hec. ,CINNAMON Prod. M.T. ,COFFEE Area Hec. ,COFFEE Prod. M.T. ,COCOA Area Hec. ,COCOA Prod. M.T. ,PEPPER Area Hec. ,PEPPER Prod. M.T. ,CARDAMOMS Area Hec. ,CARDAMOMS Prod. M.T. ,CLOVES Area Hec. ,CLOVES Prod. M.T. ,ARECANUT Area Hec. ,ARECANUT Prod. M.T. ,CASHEW Area Hec. ,CASHEW Prod. M.T. ,ORANGES Area Hec. ,ORANGES Prod. '000 Nuts,LIMES Area Hec. ,LIMES Prod. '000 Nuts,MANGOES Area Hec. ,MANGOES Prod. '000 Nuts,JAK Area Hec. ,JAK Prod. '000 Nuts,BREAD FRUIT Area Hec. ,BREAD FRUIT Prod. '000 Nuts,SUGAR CANE Area Hec. ,SUGAR CANE Prod.M.T. ,PLANTAIN Area Hec. ,PLANTAIN Prod. '000 Nuts,PAPAW Area Hec. ,PAPAW Prod. '000 Nuts,PINE APPLE Area Hec. ,PINE APPLE Prod. '000 Nuts,PASSION FRUIT Area Hec. ,PASSION FRUIT Prod. '000 Nuts,BETEL Area Hec. ,BETEL Prod. '000 Lvs.
COLOMBO,,,,,,,,,,,,,,,,,,,,,,,237 ,"2,085 ",68 ,451 ,,,,,,,28 ,68 ,,,,,,,28 ,388 ,51 ,594 ,87 ,"1,206 ",29 ,417 ,42 ,640 ,3 ,28 ,27 ,353 ,,,,,,,,,1 ,20 ,,,,,,,1 ,14 ,89 ,428 ,5 ,16 ,106 ,42 ,55 ,39 ,,,232 ,69 ,,,4 ,1 ,158 ,127 ,26 ,8 ,15 ,84 ,37 ,258 ,361 ,"2,661 ","1,310 ","1,133 ",57 ,730 ,,,481 ,208 ,130 ,921 ,83 ,754 ,2 ,50 ,59 ,"38,441 "
GAMPAHA ,,,,,,,,,,,,,,,,,,,,,,,833 ,"7,473 ",116 ,679 ,,,,,,,83 ,243 ,,,,,,,59 ,709 ,95 ,607 ,90 ,810 ,53 ,464 ,45 ,415 ,16 ,67 ,7 ,40 ,,,,,,,,,23 ,133 ,,,,,,,10 ,87 ,110 ,912 ,28 ,69 ,127 ,62 ,502 ,215 ,8 ,1 ,"1,399 ",847 ,1 ,,73 ,24 ,933 ,"1,371 ",925 ,263 ,88 ,352 ,157 ,"1,249 ","1,835 ","24,534 ","2,416 ","12,112 ",409 ,"1,547 ",4 ,13 ,"2,586 ","1,699 ",525 ,"1,688 ","1,780 ","15,542 ",31 ,166 ,474 ,"820,533 "
KALUTARA ,,,,,,,,,,,,,,,,,,,,,,,400 ,"3,907 ",84 ,659 ,,,,,,,92 ,312 ,,,,,,,83 ,626 ,135 ,943 ,157 ,"1,118 ",57 ,312 ,65 ,463 ,6 ,18 ,26 ,256 ,,,,,1 ,4 ,,,34 ,247 ,,,,,9 ,49 ,1 ,4 ,72 ,569 ,11 ,46 ,"2,209 ","1,234 ",203 ,120 ,1 ,0 ,542 ,274 ,,,26 ,13 ,694 ,469 ,64 ,21 ,54 ,137 ,149 ,"2,097 ",928 ,"16,081 ","1,580 ","10,645 ",260 ,"3,098 ",4 ,2 ,"1,343 ",897 ,349 ,"2,776 ",152 ,"1,209 ",81 ,"1,601 ",178 ,"138,780 "
KANDY,74 ,124 ,166 ,383 ,10 ,15 ,,,31 ,41 ,28 ,43 ,,,1 ,1 ,,,4 ,7 ,,,388 ,"4,226 ",102 ,926 ,1 ,11 ,29 ,342 ,,,267 ,"1,322 ",2 ,1 ,33 ,63 ,2 ,4 ,63 ,625 ,142 ,"1,429 ",187 ,"2,271 ",89 ,"1,062 ",82 ,"1,178 ",450 ,"4,209 ",46 ,588 ,223 ,"3,621 ",65 ,644 ,77 ,501 ,48 ,471 ,147 ,"1,712 ",414 ,"2,402 ",42 ,305 ,4 ,53 ,66 ,"1,071 ",118 ,"1,514 ",50 ,186 ,115 ,54 ,"2,042 ","1,404 ",459 ,220 ,"6,706 ","4,320 ",480 ,115 ,"3,178 ","1,994 ","2,148 ","3,344 ",93 ,19 ,241 ,590 ,206 ,"2,074 ","1,862 ","27,625 ","4,404 ","7,672 ",700 ,"4,247 ",8 ,22 ,"3,074 ","2,358 ",427 ,"1,765 ",31 ,86 ,34 ,389 ,85 ,"17,880 "
MATALE ,24 ,27 ,169 ,379 ,,,,,162 ,312 ,16 ,20 ,16 ,24 ,1 ,2 ,,,21 ,12 ,59 ,86 ,214 ,"2,560 ",393 ,"2,440 ",,,26 ,188 ,"1,790 ","31,629 ",366 ,"1,844 ",2 ,1 ,177 ,335 ,2 ,5 ,167 ,"2,175 ",154 ,688 ,158 ,"1,059 ",86 ,986 ,80 ,757 ,784 ,"7,890 ",140 ,"1,626 ",153 ,"1,852 ",3 ,19 ,123 ,682 ,127 ,"1,236 ",15 ,128 ,295 ,"1,333 ",7 ,56 ,4 ,50 ,125 ,"1,140 ",69 ,521 ,90 ,242 ,193 ,69 ,865 ,396 ,"1,255 ","1,042 ","8,478 ","6,864 ",371 ,225 ,757 ,423 ,"1,227 ","1,631 ",744 ,204 ,290 ,"1,532 ",308 ,"4,311 ","1,043 ","15,799 ","2,050 ","10,241 ",254 ,"2,489 ",6 ,48 ,"1,721 ","1,325 ",228 ,"1,288 ",19 ,212 ,11 ,152 ,42 ,"12,473 "
NUWARA ELIYA ,167 ,83 ,183 ,128 ,,,,,11 ,8 ,21 ,27 ,8 ,4 ,,,,,6 ,5 ,6 ,5 ,141 ,"1,774 ",60 ,598 ,768 ,"12,683 ",55 ,424 ,9 ,87 ,123 ,328 ,10 ,7 ,15 ,11 ,,,17 ,137 ,52 ,257 ,192 ,836 ,43 ,473 ,29 ,288 ,641 ,"6,881 ",35 ,379 ,692 ,"7,014 ",740 ,"9,244 ",250 ,"2,892 ",410 ,"5,043 ",329 ,"4,346 ",750 ,"2,649 ",601 ,"10,945 ",19 ,172 ,47 ,354 ,57 ,274 ,222 ,882 ,3 ,1 ,"1,103 ",654 ,4 ,3 ,866 ,412 ,193 ,41 ,383 ,124 ,472 ,422 ,38 ,11 ,192 ,"1,657 ",167 ,"2,870 ",556 ,"10,624 ","1,214 ","10,372 ",149 ,"1,536 ",,,"1,179 ",740 ,124 ,813 ,9 ,53 ,7 ,104 ,21 ,"11,590 "
GALLE,,,,,,,,,,,,,,,,,,,,,,,474 ,"2,268 ",177 ,892 ,,,,,,,46 ,46 ,,,,,,,86 ,661 ,166 ,837 ,163 ,902 ,69 ,308 ,71 ,379 ,18 ,84 ,18 ,117 ,,,,,,,,,57 ,280 ,,,,,3 ,19 ,6 ,41 ,211 ,"1,506 ",49 ,147 ,"11,207 ","5,190 ",136 ,58 ,5 ,2 ,701 ,268 ,,,73 ,32 ,682 ,"1,099 ",63 ,21 ,112 ,219 ,207 ,"1,032 ",853 ,"12,700 ","1,550 ","14,152 ",291 ,"3,217 ",3 ,21 ,"1,469 ",511 ,412 ,"1,446 ",84 ,165 ,29 ,172 ,173 ,"283,044 "
MATARA,3 ,3 ,2 ,3 ,,,,,4 ,4 ,1 ,2 ,,,,,,,,,,,334 ,"3,059 ",109 ,739 ,,,,,,,73 ,94 ,,,,,,,31 ,217 ,82 ,417 ,108 ,524 ,45 ,215 ,20 ,88 ,15 ,58 ,4 ,23 ,6 ,22 ,,,,,,,72 ,463 ,,,,,1 ,4 ,9 ,38 ,183 ,"1,088 ",29 ,78 ,"7,420 ","3,148 ",261 ,119 ,,,949 ,423 ,,,292 ,121 ,745 ,740 ,274 ,67 ,77 ,211 ,136 ,"1,295 ","1,384 ","16,335 ","3,827 ","23,435 ",332 ,"2,823 ",,,"1,453 ","1,160 ",244 ,"1,258 ",107 ,490 ,5 ,37 ,65 ,"136,730 "
HAMBANTOTA ,67 ,87 ,111 ,163 ,,,,,148 ,176 ,34 ,37 ,,,,,,,68 ,45 ,71 ,89 ,354 ,"4,076 ",64 ,401 ,,,23 ,251 ,1 ,24 ,275 ,857 ,,,9 ,21 ,,,164 ,"2,497 ",176 ,"2,344 ",311 ,"4,375 ",197 ,"2,883 ",146 ,"2,254 ",90 ,"1,468 ",111 ,"1,333 ",,,,,,,,,59 ,722 ,1 ,3 ,,,23 ,322 ,156 ,"2,355 ",321 ,"4,520 ",15 ,53 ,"2,452 ","1,462 ",156 ,117 ,,,"1,776 ","1,174 ",,,40 ,14 ,330 ,404 ,887 ,242 ,190 ,"1,055 ",515 ,"10,219 ","1,255 ","21,281 ","2,220 ","15,701 ",324 ,"5,291 ",1 ,24 ,"2,041 ","1,957 ",496 ,"4,433 ",76 ,840 ,9 ,114 ,36 ,"21,280 "
JAFFNA,122 ,101 ,,,,,,,67 ,58 ,1 ,1 ,,,5 ,3 ,,,32 ,21 ,10 ,2 ,248 ,"2,472 ",,,,,609 ,"6,516 ",,,218 ,849 ,,,,,7 ,12 ,,,76 ,589 ,89 ,764 ,46 ,369 ,35 ,294 ,45 ,408 ,2 ,9 ,25 ,142 ,47 ,411 ,,,37 ,324 ,,,47 ,156 ,11 ,74 ,28 ,158 ,57 ,361 ,119 ,985 ,5 ,27 ,,,,,,,,,,,,,39 ,32 ,,,38 ,300 ,85 ,724 ,465 ,"5,260 ",194 ,196 ,13 ,35 ,,,565 ,606 ,46 ,266 ,,,,,21 ,"4,520 "
