DISTRICT,KURAKKAN Area Hec. ,KURAKKAN Prod. M.T.,MAIZE Area Hec. ,MAIZE Prod. M.T.,SORGHUM Area Hec. ,SORGHUM Prod. M.T.,MENERI Area Hec. ,MENERI Prod. M.T.,GREEN GRAM Area Hec. ,GREEN GRAM Prod. M.T.,COWPEA Area Hec. ,COWPEA Prod. M.T.,SOYA BEANS Area Hec. ,SOYA BEANS Prod. M.T.,BLACK GRAM Area Hec. ,BLACK GRAM Prod. M.T.,DHALL Area Hec. ,DHALL Prod. M.T.,GINGELLY Area Hec. ,GINGELLY Prod. M.T.,GROUND NUTS Area Hec. ,GROUND NUTS Prod. M.T.,MANIOC Area Hec. ,MANIOC Prod. M.T.,SWEET POTATOES Area Hec. ,SWEET POTATOES Prod. M.T.,POTATOES Area Hec. ,POTATOES Prod. M.T.,RED ONIONS Area Hec. ,RED ONIONSProd. M.T.,BIG ONIONS Area Hec. ,BIG ONIONS Prod. M.T.,CHILLIES (GREEN) Area Hec. ,CHILLIES (GREEN) Prod. M.T.,MUSTERD Area Hec. ,MUSTERD Prod. M.T.,CIGAR. TOBACCO Area Hec. ,CIGAR. TOBACCO Prod. M.T.,BEEDI/CIGAR TOBA.Area Hec. ,BEEDI/CIGAR TOBA. Prod. M.T.,LUFFA Area Hec. ,LUFFA Prod. M.T.,BANDAKKA Area Hec. ,BANDAKKA Prod. M.T.,BRINJALS Area Hec. ,BRINJALS Prod. M.T.,BITTER GOURD Area Hec. ,BITTER GOURD Prod. M.T.,SNAKE GOURD Area Hec. ,SNAKE GOURD Prod. M.T.,TOMATOES Area Hec. ,TOMATOES Prod. M.T.,CUCUMBER Area Hec. ,CUCUMBER Prod. M.T. ,CABBAGE Area Hec. ,CABBAGE Prod. M.T.,CARROT Area Hec. ,CARROT Prod. M.T.,KNOLKHOL Area Hec. ,KNOLKHOL Prod.M.T. ,BEETROOT Area Hec. ,BEETROOT Prod. M.T.,RADDISH Area Hec. ,RADDISH Prod. M.T.,BEANS Area Hec. ,BEANS Prod. M.T.,LEEKS Area Hec. ,LEEKS Prod. M.T.,ASH PUMPKIN Area Hec. ,ASH PUMPKIN Prod. M.T.,RED PUMPKIN Area Hec. ,RED PUMPKIN Prod. M.T.,ASH PLANTAIN Area Hec. ,ASH PLANTAIN Prod. M.T.,CAPSICUM Area Hec. ,CAPSICUM Prod. M.T.,CINNAMON Area Hec. ,CINNAMON Prod. M.T.,COFFEE Area Hec. ,COFFEE Prod. M.T.,COCOA Area Hec. ,COCOA Prod. M.T.,PEPPER Area Hec. ,PEPPER Prod. M.T.,CARDAMOMS Area Hec. ,CARDAMOMS Prod. M.T.,CLOVES Area Hec. ,CLOVES Prod. M.T.,ARECANUT Area Hec. ,ARECANUT Prod. M.T.,CASHEW Area Hec. ,CASHEW Prod. M.T.,ORANGES Area Hec. ,ORANGES Prod. '000 Nuts,LIMES Area Hec. ,LIMES Prod. '000 Nuts,MANGOES Area Hec. ,MANGOES Prod. '000 Nuts,JAK Area Hec. ,JAK Prod. '000 Nuts,BREAD FRUIT Area Hec. ,BREAD FRUIT Prod. '000 Nuts,SUGAR CANE Area Hec. ,SUGAR CANE Prod. M.T.,PLANTAIN Area Hec. ,PLANTAIN Prod. '000 Bchs.,PAPAW Area Hec. ,PAPAW Prod. '000 Nuts,PINE APPLE Area Hec. ,PINE APPLE Prod. '000 Nuts,PASSION FRUIT Area Hec. ,PASSION FRUIT Prod. '000 Nuts,BETEL Area Hec. ,BETEL Prod. '000 Lvs.
COLOMBO,,,,,,,,,,,,,,,,,,,,,,,294 ,"2,102 ",24 ,152 ,,,,,,,26 ,189 ,,,,,,,,,55 ,242 ,93 ,519 ,31 ,173 ,35 ,252 ,1 ,2 ,23 ,192 ,,,,,,,,,,,,,,,,,2 ,14 ,22 ,138 ,2 ,2 ,112 ,38 ,68 ,51 ,,,195 ,60 ,,,7 ,2 ,125 ,136 ,29 ,8 ,21 ,128 ,36 ,514 ,534 ,"2,726 ",405 ,"1,538 ",49 ,615 ,,,502 ,210 ,127 ,719 ,60 ,453 ,4 ,102 ,51 ,"20,619 "
GAMPAHA ,,,,,,,,,,,,,,,,,,,,,,,849 ,"8,344 ",143 ,595 ,,,,,,,70 ,146 ,,,,,,,31 ,301 ,98 ,597 ,87 ,841 ,36 ,324 ,75 ,254 ,10 ,46 ,7 ,64 ,1 ,6 ,,,,,,,4 ,10 ,,,,,1 ,9 ,2 ,34 ,79 ,547 ,42 ,249 ,121 ,54 ,567 ,334 ,3 ,2 ,"1,168 ",626 ,1 ,0 ,72 ,24 ,664 ,"1,370 ","1,085 ",342 ,52 ,171 ,130 ,"1,206 ","2,049 ","36,157 ","2,786 ","14,705 ",349 ,"2,072 ",2 ,0 ,"3,003 ","2,264 ",414 ,"1,376 ","2,076 ","19,440 ",24 ,424 ,350 ,"795,601 "
KALUTARA ,,,,,,,,,,,,,,,,,,,,,,,488 ,"4,457 ",165 ,"1,245 ",,,,,,,58 ,83 ,,,,,,,13 ,94 ,147 ,698 ,146 ,887 ,65 ,378 ,50 ,312 ,,,14 ,112 ,,,,,,,,,14 ,74 ,,,,,,,,,85 ,356 ,18 ,58 ,"2,453 ","1,025 ",480 ,182 ,,,561 ,203 ,,,57 ,16 ,797 ,640 ,107 ,32 ,59 ,200 ,144 ,"2,089 ",803 ,"11,777 ","1,850 ","12,944 ",270 ,"2,926 ",,,"1,396 ",978 ,325 ,"1,690 ",117 ,660 ,107 ,"2,495 ",202 ,"158,101 "
KANDY,23 ,22 ,84 ,75 ,13 ,20 ,,,8 ,6 ,8 ,7 ,1 ,1 ,,,,,4 ,2 ,,,380 ,"2,098 ",100 ,399 ,4 ,36 ,27 ,83 ,,,245 ,"1,156 ",5 ,2 ,20 ,30 ,,,41 ,439 ,129 ,414 ,163 ,587 ,108 ,437 ,87 ,365 ,348 ,"2,229 ",48 ,247 ,230 ,"2,306 ",69 ,414 ,84 ,711 ,30 ,227 ,86 ,894 ,405 ,"1,486 ",70 ,415 ,2 ,7 ,71 ,292 ,105 ,468 ,42 ,140 ,105 ,25 ,"2,500 ","1,694 ",603 ,276 ,"6,653 ","4,044 ",899 ,217 ,"3,141 ","1,308 ","1,909 ","1,891 ",138 ,36 ,201 ,341 ,196 ,"1,174 ","1,813 ","28,561 ","4,986 ","9,381 ","1,031 ","4,678 ",9 ,30 ,"3,436 ","1,281 ",394 ,"1,400 ",14 ,15 ,31 ,387 ,57 ,"11,704 "
MATALE ,29 ,19 ,131 ,171 ,2 ,2 ,,,37 ,44 ,12 ,14 ,95 ,123 ,4 ,3 ,,,31 ,16 ,40 ,23 ,186 ,"2,232 ",754 ,"4,627 ",1 ,4 ,9 ,33 ,"3,195 ","36,370 ",422 ,"1,445 ",6 ,6 ,282 ,414 ,15 ,19 ,115 ,"1,722 ",217 ,"1,274 ",254 ,"1,880 ",135 ,810 ,97 ,980 ,642 ,"5,757 ",180 ,"1,521 ",69 ,621 ,6 ,36 ,103 ,706 ,122 ,913 ,42 ,342 ,305 ,"1,048 ",2 ,5 ,5 ,18 ,255 ,"1,498 ",99 ,396 ,188 ,637 ,136 ,59 ,868 ,504 ,890 ,687 ,"6,760 ","4,230 ",873 ,278 ,739 ,316 ,"1,103 ","1,291 ",731 ,184 ,289 ,"1,468 ",288 ,"4,069 ","1,108 ","14,934 ","1,917 ","16,604 ",287 ,"3,174 ",5 ,15 ,"1,636 ","1,010 ",233 ,"1,446 ",27 ,144 ,13 ,183 ,51 ,"12,360 "
NUWARA ELIYA ,43 ,23 ,89 ,66 ,,,,,,,7 ,9 ,4 ,2 ,,,,,,,,,145 ,"1,732 ",50 ,446 ,"1,117 ","18,450 ",56 ,419 ,,,122 ,310 ,4 ,3 ,21 ,16 ,,,,,58 ,298 ,161 ,728 ,48 ,563 ,16 ,161 ,594 ,"6,375 ",34 ,383 ,905 ,"10,962 ",911 ,"13,326 ",280 ,"3,197 ",442 ,"5,870 ",361 ,"4,841 ",602 ,"2,205 ",661 ,"10,934 ",3 ,30 ,62 ,764 ,67 ,461 ,297 ,981 ,4 ,2 ,"1,216 ",731 ,6 ,4 ,"1,255 ",783 ,207 ,58 ,376 ,128 ,469 ,419 ,29 ,8 ,111 ,"1,052 ",109 ,"2,040 ",617 ,"13,395 ","1,462 ","14,548 ",170 ,"1,573 ",,,"1,219 ",737 ,124 ,515 ,5 ,29 ,4 ,113 ,13 ,"7,295 "
GALLE,,,,,,,,,,,,,,,,,,,,,,,481 ,"3,377 ",183 ,"1,283 ",,,,,,,35 ,42 ,,,,,,,7 ,53 ,139 ,848 ,131 ,782 ,56 ,284 ,40 ,236 ,4 ,14 ,11 ,98 ,,,,,,,,,17 ,268 ,,,,,,,,,159 ,"1,009 ",36 ,140 ,"10,682 ","5,861 ",143 ,81 ,,,582 ,297 ,,,105 ,46 ,449 ,"1,258 ",50 ,13 ,69 ,328 ,153 ,"1,727 ",728 ,"9,617 ","1,700 ","17,744 ",236 ,"2,710 ",,,"1,250 ",691 ,240 ,"1,116 ",32 ,251 ,22 ,295 ,141 ,"308,610 "
MATARA,,,,,,,,,5 ,4 ,1 ,1 ,,,,,,,,,1 ,,326 ,"2,982 ",95 ,656 ,,,,,,,53 ,65 ,,,,,,,3 ,25 ,74 ,389 ,75 ,406 ,36 ,155 ,10 ,48 ,9 ,41 ,3 ,14 ,,,,,,,,,55 ,416 ,1 ,2 ,,,2 ,9 ,10 ,42 ,146 ,819 ,16 ,46 ,"7,707 ","3,383 ",266 ,134 ,,,873 ,431 ,,,362 ,134 ,676 ,732 ,381 ,111 ,94 ,225 ,141 ,"1,271 ","1,542 ","21,317 ","4,055 ","37,685 ",314 ,"3,307 ",,,"1,287 ","1,106 ",193 ,"1,019 ",89 ,548 ,6 ,50 ,66 ,"129,332 "
HAMBANTOTA ,97 ,79 ,95 ,78 ,,,1 ,1 ,241 ,248 ,87 ,79 ,,,,,,,150 ,74 ,117 ,103 ,340 ,"2,837 ",68 ,411 ,,,58 ,254 ,,,344 ,709 ,4 ,2 ,,,,,34 ,326 ,182 ,"1,349 ",247 ,"2,476 ",185 ,"1,310 ",133 ,"1,341 ",92 ,548 ,91 ,829 ,,,,,,,,,40 ,219 ,,,,,40 ,410 ,177 ,"1,810 ",398 ,"2,468 ",8 ,25 ,"2,356 ","1,414 ",131 ,112 ,,,"1,550 ","1,180 ",,,36 ,14 ,296 ,342 ,912 ,278 ,118 ,739 ,380 ,"8,348 ","1,166 ","25,572 ","2,184 ","19,726 ",224 ,"3,765 ",,,"2,803 ","2,580 ",469 ,"3,573 ",77 ,527 ,,,32 ,"13,702 "
JAFFNA ,122 ,111 ,,,,,,,67 ,58 ,1 ,1 ,,,5 ,3 ,,,32 ,21 ,10 ,2 ,248 ,"3,472 ",,,,,609 ,"6,516 ",,,218 ,849 ,,,,,7 ,12 ,,,76 ,589 ,89 ,764 ,46 ,369 ,35 ,294 ,45 ,408 ,2 ,9 ,25 ,142 ,47 ,411 ,,,37 ,324 ,,,47 ,156 ,11 ,74 ,28 ,158 ,57 ,361 ,119 ,985 ,5 ,27 ,,,,,,,,,,,,,39 ,32 ,,,38 ,300 ,85 ,724 ,465 ,"5,260 ",194 ,196 ,13 ,35 ,,,565 ,606 ,46 ,266 ,,,,,21 ,"4,520 "
