DISTRICT,KURAKKAN Area Hec. ,KURAKKAN Prod. M.T. ,MAIZE Area Hec. ,MAIZE Prod. M.T. ,SORGHUM Area Hec. ,SORGHUM Prod. M.T. ,MENERI Area Hec. ,MENERI Prod. M.T. ,GREEN GRAM Area Hec. ,GREEN GRAM Prod. M.T. ,COWPEA Area Hec. ,COWPEA Prod. M.T. ,SOYA BEANS Area Hec. ,SOYA BEANS Prod. M.T. ,BLACK GRAM Area Hec. ,BLACK GRAM Prod. M.T. ,DHALL Area Hec. ,DHALL Prod. M.T. ,GINGELLY Area Hec. ,GINGELLY Prod. M.T. ,GROUND NUTS Area Hec. ,GROUND NUTS Prod. M.T. ,MANIOC Area Hec. ,MANIOC Prod. M.T. ,SWEET POTATOES Area Hec. ,SWEET POTATOES Prod. M.T. ,POTATOES Area Hec. ,POTATOES Prod. M.T. ,RED ONIONS Area Hec. ,RED ONIONS Prod. M.T. ,BIG ONIONS Area Hec. ,BIG ONIONS Prod. M.T. ,CHILLIES (GREEN) Area Hec. ,CHILLIES (GREEN) Prod. M.T. ,MUSTERD Area Hec. ,MUSTERD Prod. M.T. ,CIGAR. TOBACCO Area Hec. ,CIGAR. TOBACCO Prod. M.T. ,BEEDI/CIGAR TOBA Area Hec. ,BEEDI/CIGAR TOBA Prod. M.T. ,LUFFA Area Hec. ,LUFFA Prod. M.T. ,BANDAKKA Area Hec. ,BANDAKKA Prod. M.T. ,BRINJALS Area Hec. ,BRINJALS Prod. M.T. ,BITTER GOURD Area Hec. ,BITTER GOURD Prod. M.T. ,SNAKE GOURD Area Hec. ,SNAKE GOURD Prod. M.T. ,TOMATOES Area Hec. ,TOMATOES Prod. M.T. ,TOMATOES Area Hec. ,TOMATOES Prod. M.T. ,CABBAGE Area Hec. ,CABBAGE Prod. M.T. ,CARROT Area Hec. ,CARROT Prod. M.T. ,KNOLKHOL Area Hec. ,KNOLKHOL Prod. M.T. ,BEETROOT Area Hec. ,BEETROOT Prod. M.T. ,RADDISH Area Hec. ,RADDISH Prod. M.T. ,BEANS Area Hec. ,BEANS Prod. M.T. ,LEEKS Area Hec. ,LEEKS Prod. M.T. ,ASH PUMPKIN Area Hec. ,ASH PUMPKIN Prod. M.T. ,RED PUMPKIN Area Hec. ,RED PUMPKIN Prod. M.T. ,ASH PLANTAIN Area Hec. ,ASH PLANTAIN Prod. M.T. ,CAPSICUM Area Hec. ,CAPSICUM Prod. M.T. ,CINNAMON Area Hec. ,CINNAMON Prod. M.T. ,COFFEE Area Hec. ,COFFEE Prod. M.T. ,COCOA Area Hec. ,COCOA Prod. M.T. ,PEPPER Area Hec. ,PEPPER Prod. M.T. ,CARDAMOMS Area Hec. ,CARDAMOMS Prod. M.T. ,CLOVES Area Hec. ,CLOVES Prod. M.T. ,ARECANUT Area Hec. ,ARECANUT Prod. M.T. ,CASHEW Area Hec. ,CASHEW Prod. M.T. ,ORANGES Area Hec. ,ORANGES Prod. '000 Nuts,LIMES Area Hec. ,LIMES Prod. '000 Nuts,MANGOES Area Hec. ,MANGOES Prod. '000 Nuts,JAK Area Hec. ,JAK Prod. '000 Nuts,BREAD FRUIT Area Hec. ,BREAD FRUIT Prod. '000 Nuts,SUGAR CANE Area Hec. ,SUGAR CANE Prod.M.T. ,PLANTAIN Area Hec. ,PLANTAIN Prod. '000 Nuts,PAPAW Area Hec. ,PAPAW Prod. '000 Nuts,PINE APPLE Area Hec. ,PINE APPLE Prod. '000 Nuts,PASSION FRUIT Area Hec. ,PASSION FRUIT Prod. '000 Nuts,BETEL Area Hec. ,BETEL Prod. '000 Lvs.
COLOMBO,,,,,,,,,,,,,,,,,,,,,,,358,"2,865",25,187,,,,,,,40,130,,,,,,,13,149,63,314,115,"1,144",39,119,41,279,4,7,28,280,,,,,,,,,3,35,,,,,,,1,16,33,362,7,12,162,46,87,53,,,284,64,,,8,1,238,123,28,9,16,94,54,641,428,"2,035",570,"1,209",78,615,,,643,169,152,785,114,709,2,117,85,"35,121"
GAMPAHA ,,,,,,,,,,,,,,,,,,,,,,,886,"8,425",136,862,,,,,,,86,201,,,,,,,27,195,103,507,96,765,45,349,25,195,7,39,5,49,,,,,,,,,7,7,,,,,1,1,5,27,92,498,27,60,143,73,416,221,5,2,"1,456",999,2,0,62,22,822,"1,696",747,199,66,252,157,"1,190","1,959","34,538","2,912","13,233",377,"1,380",30,80,"3,216","2,040",550,"1,803","1,841","17,058",39,477,425,"949,524"
KALUTARA ,,,,,,,,,,,,,,,,,,,,,,,459,"4,410",142,902,,,,,,,80,162,,,,,,,53,296,156,755,150,843,71,373,67,397,2,4,32,302,,,,,,,,,17,108,,,,,1,6,2,10,82,448,15,47,"2,410","1,094",424,239,2,1,555,279,1,0,42,18,724,571,98,29,72,218,156,"2,319",940,"15,384","1,486","9,920",282,"2,191",3,7,"1,256",964,503,"2,821",169,998,83,"1,675",150,"124,379"
KANDY,36,40,111,234,10,12,,,10,15,11,15,1,2,,,,,2,1,,,394,"2,835",123,862,4,38,33,394,,,280,"1,255",6,10,18,33,,,30,355,131,717,180,"1,960",75,312,59,277,282,"2,215",47,431,227,"2,478",57,579,53,439,52,495,134,"1,706",374,"1,225",38,270,7,65,572,"5,852",115,"1,551",58,184,100,50,"2,189","1,557",630,425,"5,832","3,737",763,189,"2,857","1,212","1,751","2,070",117,26,156,373,157,"1,095","1,758","27,370","4,660","8,814",831,"3,966",4,30,"3,377","1,366",337,"1,552",18,51,18,244,89,"17,614"
MATALE ,49,44,190,398,5,3,,,135,156,26,40,119,156,5,8,,,31,24,46,40,206,"3,090",937,"8,754",,,12,106,"3,283","44,877",356,"1,228",20,15,185,286,2,2,95,"1,433",165,973,180,"1,261",114,703,90,886,672,"5,931",172,"1,869",114,"1,634",4,33,122,771,135,"1,416",30,256,330,"1,540",9,68,6,78,189,"2,018",74,702,144,634,156,80,838,360,854,575,"6,701","4,222",352,115,662,311,"1,101","1,293",746,190,299,"1,617",290,"4,202","1,096","14,265","1,829","16,347",273,"2,090",6,11,"1,681","1,159",225,948,22,212,10,230,49,"11,198"
NUWARA ELIYA ,110,60,161,213,,,,,,,7,9,5,3,,,,,,,,,188,"2,340",53,522,860,"12,671",55,422,,,119,323,5,4,2,2,,,5,39,52,263,204,883,43,364,21,171,581,"6,276",22,251,774,"7,821","1,028","13,369",256,"3,021",516,"6,474",446,"6,076",803,"2,854",803,"14,623",2,22,42,481,70,338,212,874,2,1,"1,519",742,5,3,758,382,206,63,385,125,485,447,29,7,130,"1,089",133,"2,671",615,"12,234","1,267","11,122",169,"1,788",2,,"1,286",852,130,803,6,36,8,128,21,"11,300"
GALLE,,,,,,,,,,,,,,,,,,,,,,,479,"1,875",188,"1,017",,,,,,,29,27,,,,,,,13,101,102,517,123,677,49,166,41,216,7,34,14,98,,,,,,,,,19,93,1,3,,,2,11,4,24,163,"1,090",33,128,"10,484","5,164",115,54,2,1,582,269,5,1,108,60,482,"1,406",44,12,67,378,168,"1,539",722,"7,983","1,686","17,669",219,"2,635",,,"1,285",614,250,"1,910",36,57,24,209,138,"304,405"
MATARA,,,1,1,,,,,4,6,,,,,,,,,,,,,289,"2,791",83,602,,,,,,,43,83,,,,,,,4,22,67,342,61,351,27,125,9,43,5,19,2,10,,,,,,,,,44,295,3,5,,,1,3,8,37,143,846,9,26,"7,530","4,038",260,130,,,860,482,,,301,111,673,647,295,90,80,156,126,"1,141","1,373","15,954","3,970","27,038",314,"3,420",,,"1,306","1,073",194,948,77,379,14,99,60,"128,700"
HAMBANTOTA ,97,83,95,91,,,1,1,241,291,87,88,,,,,,,150,76,117,138,340,"3,235",68,464,,,58,253,,,344,753,4,2,4,6,,,37,397,182,"1,415",247,"3,264",185,"1,366",133,"1,319",92,449,91,853,,,,,,,,,40,302,,,,,40,556,177,"2,362",398,"5,089",8,21,"2,356","1,405",131,100,,,"1,550","1,196",,,36,13,296,351,939,281,120,691,404,"8,784","1,181","26,900","2,196","17,763",224,"3,901",,,"2,915","2,550",479,"3,476",77,552,1,10,32,"17,700"
JAFFNA * ,122,101,,,,,,,67,58,1,1,,,5,3,,,32,21,10,2,248,"3,472",,,,,609,"6,516",,,218,849,,,,,7,12,,,76,589,89,764,46,369,35,294,45,408,2,9,25,142,47,411,,,37,324,,,47,156,11,74,28,158,57,361,119,985,5,27,,,,,,,,,,,,,39,32,,,38,300,85,724,465,"5,260",194,196,13,35,,,565,606,46,266,,,,,21,"4,520"
