DISTRICT,KURAKKAN Area Hec. ,KURAKKAN Prod. M.T. ,MAIZE Area Hec. ,MAIZE Prod. M.T. ,SORGHUM Area Hec. ,SORGHUM Prod. M.T. ,MENERI Area Hec. ,MENERI Prod. M.T. ,GREEN GRAM Area Hec. ,GREEN GRAM Prod. M.T. ,COWPEA Area Hec. ,COWPEA Prod. M.T. ,SOYA BEANS Area Hec. ,SOYA BEANS Prod. M.T. ,BLACK GRAM Area Hec. ,BLACK GRAM Prod. M.T. ,GINGELLY Area Hec. ,GINGELLY Prod. M.T. ,GROUND NUTS Area Hec. ,GROUND NUTS Prod. M.T. ,MANIOC Area Hec. ,MANIOC Prod. M.T. ,SWEET POTATOES Area Hec. ,SWEET POTATOES Prod. M.T. ,POTATOES Area Hec. ,POTATOES Prod. M.T. ,RED ONIONS Area Hec. ,RED ONIONS Prod. M.T. ,BIG ONIONS Area Hec. ,BIG ONIONS Prod. M.T. ,CHILLIES (GREEN) Area Hec. ,CHILLIES (GREEN) Prod. M.T. ,MUSTERD Area Hec. ,MUSTERD Prod. M.T. ,CIGAR. TOBACCO Area Hec. ,CIGAR. TOBACCO Prod. M.T. ,BEEDI/CIGAR TOBA Area Hec. ,BEEDI/CIGAR TOBA Prod. M.T. ,LUFFA Area Hec. ,LUFFA Prod. M.T. ,BANDAKKA Area Hec. ,BANDAKKA Prod. M.T. ,BRINJALS Area Hec. ,BRINJALS Prod. M.T. ,BITTER GOURD Area Hec. ,BITTER GOURD Prod. M.T. ,SNAKE GOURD Area Hec. ,SNAKE GOURD Prod. M.T. ,TOMATOES Area Hec. ,TOMATOES Prod. M.T. ,CUCUMBER Area Hec. ,CUCUMBER Prod. M.T. ,CABBAGE Area Hec. ,CABBAGE Prod. M.T. ,CARROT Area Hec. ,CARROT Prod. M.T. ,KNOLKHOL Area Hec. ,KNOLKHOL Prod. M.T. ,BEETROOT Area Hec. ,BEETROOT Prod. M.T. ,RADDISH Area Hec. ,RADDISH Prod. M.T. ,BEANS Area Hec. ,BEANS Prod. M.T. ,LEEKS Area Hec. ,LEEKS Prod. M.T. ,ASH PUMPKIN Area Hec. ,ASH PUMPKIN Prod. M.T. ,RED PUMPKIN Area Hec. ,RED PUMPKIN Prod. M.T. ,ASH PLANTAIN Area Hec. ,ASH PLANTAIN Prod. M.T. ,CAPSICUM Area Hec. ,CAPSICUM Prod. M.T. ,CINNAMON Area Hec. ,CINNAMON Prod. M.T. ,COFFEE Area Hec. ,COFFEE Prod. M.T. ,COCOA Area Hec. ,COCOA Prod. M.T. ,PEPPER Area Hec. ,PEPPER Prod. M.T. ,CARDAMOMS Area Hec. ,CARDAMOMS Prod. M.T. ,CLOVES Area Hec. ,CLOVES Prod. M.T. ,ARECANUT Area Hec. ,ARECANUT Prod. M.T. ,CASHEW Area Hec. ,CASHEW Prod. M.T. ,ORANGES Area Hec. ,ORANGES Prod. '000 Nuts,LIMES Area Hec. ,LIMES Prod. '000 Nuts,MANGOES Area Hec. ,MANGOES Prod. '000 Nuts,JAK Area Hec. ,JAK Prod. '000 Nuts,BREAD FRUIT Area Hec. ,BREAD FRUIT Prod. '000 Nuts,SUGAR CANE Area Hec. ,SUGAR CANE Prod.M.T. ,PLANTAIN Area Hec. ,PLANTAIN Prod. '000 Nuts,PAPAW Area Hec. ,PAPAW Prod. '000 Nuts,PINE APPLE Area Hec. ,PINE APPLE Prod. '000 Nuts,PASSION FRUIT Area Hec. ,PASSION FRUIT Prod. '000 Nuts,BETEL Area Hec. ,BETEL Prod. '000 Lvs.
COLOMBO,,,,,,,,,,,,,,,,,,,,,243 ,"3,170 ",29 ,289 ,,,,,,,33 ,89 ,,,,,,,27 ,400 ,53 ,503 ,87 ,"1,254 ",31 ,576 ,39 ,596 ,3 ,31 ,22 ,229 ,,,,,,,,,3 ,40 ,,,,,,,4 ,40 ,32 ,442 ,6 ,15 ,123 ,47 ,73 ,45 ,,,261 ,48 ,,,1 ,1 ,216 ,124 ,34 ,10 ,23 ,135 ,49 ,257 ,394 ,"1,989 ","1,385 ","1,597 ",65 ,746 ,,,504 ,256 ,110 ,766 ,101 ,964 ,4 ,82 ,77 ,"34,410 "
GAMPAHA ,,,,,,,,,,,,,,,,,,,,,871 ,"8,558 ",139 ,790 ,,,,,,,91 ,161 ,,,,,,,70 ,653 ,110 ,697 ,105 ,810 ,48 ,424 ,33 ,312 ,12 ,52 ,5 ,20 ,,,,,,,,,22 ,90 ,,,,,1 ,10 ,8 ,69 ,115 ,826 ,27 ,71 ,155 ,75 ,447 ,147 ,9 ,3 ,"1,438 ","1,026 ",,,75 ,25 ,940 ,"1,459 ",880 ,248 ,63 ,221 ,153 ,"1,097 ","1,909 ","31,430 ","2,316 ","12,307 ",455 ,"2,301 ",20 ,55 ,"2,740 ","1,567 ",331 ,"1,079 ","1,739 ","14,920 ",47 ,153 ,499 ,"916,389 "
KALUTARA ,,,,,,,,,,,,,,,,,,,,,457 ,"4,691 ",119 ,736 ,,,,,,,100 ,257 ,,,,,,,96 ,796 ,141 ,936 ,170 ,"1,257 ",68 ,376 ,72 ,519 ,12 ,75 ,29 ,305 ,,,,,,,,,15 ,113 ,,,,,2 ,3 ,1 ,9 ,79 ,521 ,16 ,78 ,"2,457 ",960 ,234 ,133 ,1 ,0 ,583 ,285 ,1 ,0 ,30 ,12 ,752 ,475 ,47 ,14 ,55 ,101 ,158 ,"1,300 ",939 ,"16,028 ","1,592 ","9,386 ",271 ,"3,236 ",159 ,107 ,"1,276 ",832 ,359 ,"2,819 ",147 ,"1,024 ",81 ,"1,530 ",218 ,"129,279 "
KANDY,38 ,78 ,160 ,467 ,7 ,10 ,,,28 ,66 ,25 ,60 ,,,,,4 ,7 ,1 ,3 ,399 ,"6,890 ",98 ,"1,075 ",5 ,51 ,30 ,224 ,,,219 ,945 ,2 ,1 ,47 ,64 ,1 ,1 ,92 ,986 ,131 ,"1,634 ",202 ,"2,934 ",84 ,"1,129 ",77 ,"1,114 ",408 ,"3,862 ",42 ,628 ,267 ,"4,740 ",59 ,654 ,71 ,491 ,37 ,435 ,136 ,"1,550 ",467 ,"2,379 ",23 ,347 ,1 ,39 ,73 ,"1,134 ",106 ,"1,451 ",71 ,273 ,114 ,57 ,"2,199 ","1,495 ",470 ,265 ,"6,759 ","4,506 ",488 ,120 ,"3,186 ","1,895 ","2,091 ","2,893 ",83 ,19 ,258 ,742 ,235 ,"1,933 ","1,888 ","25,584 ","4,377 ","7,996 ",670 ,"3,988 ",15 ,73 ,"3,195 ","1,970 ",438 ,"2,371 ",28 ,88 ,38 ,483 ,93 ,"18,670 "
MATALE ,22 ,22 ,191 ,442 ,7 ,10 ,,,37 ,64 ,10 ,15 ,69 ,92 ,1 ,1 ,44 ,35 ,45 ,70 ,198 ,"2,623 ",248 ,"1,799 ",30 ,188 ,1 ,8 ,"2,838 ","51,788 ",327 ,"1,561 ",3 ,2 ,426 ,874 ,14 ,24 ,166 ,"2,308 ",129 ,908 ,114 ,788 ,79 ,"1,017 ",89 ,842 ,457 ,"5,637 ",158 ,"2,291 ",138 ,"2,290 ",1 ,7 ,106 ,780 ,317 ,"3,264 ",19 ,211 ,257 ,"1,390 ",1 ,9 ,,,493 ,"4,531 ",56 ,429 ,110 ,303 ,203 ,55 ,833 ,493 ,"1,167 ","1,015 ","8,377 ","7,407 ",366 ,225 ,687 ,498 ,"1,077 ","2,136 ",734 ,201 ,314 ,"1,652 ",360 ,"4,737 ",942 ,"14,063 ","2,063 ","12,515 ",243 ,"2,435 ",6 ,41 ,"1,741 ","1,074 ",242 ,"1,310 ",20 ,233 ,6 ,72 ,72 ,"13,066 "
NUWARA ELIYA ,170 ,86 ,196 ,142 ,,,,,8 ,8 ,20 ,26 ,5 ,4 ,,,3 ,3 ,6 ,12 ,163 ,"2,050 ",60 ,601 ,390 ,"6,512 ",58 ,440 ,1 ,10 ,125 ,331 ,11 ,8 ,11 ,8 ,,,8 ,71 ,58 ,289 ,212 ,931 ,48 ,530 ,27 ,267 ,678 ,"7,276 ",32 ,343 ,745 ,"7,599 ",813 ,"10,171 ",245 ,"2,822 ",439 ,"5,353 ",342 ,"4,525 ",705 ,"2,488 ",677 ,"12,400 ",9 ,82 ,49 ,383 ,59 ,286 ,212 ,839 ,4 ,1 ,"1,103 ",649 ,5 ,3 ,879 ,417 ,194 ,42 ,376 ,120 ,482 ,435 ,43 ,14 ,196 ,"2,354 ",167 ,"2,040 ",561 ,"10,844 ","1,168 ","10,037 ",152 ,"1,884 ",,,"1,187 ",748 ,126 ,669 ,8 ,54 ,7 ,130 ,23 ,"11,966 "
GALLE,,,,,,,,,,,,,,,,,,,,,509 ,"2,380 ",178 ,882 ,,,,,,,52 ,52 ,,,,,,,120 ,910 ,175 ,885 ,191 ,"1,068 ",75 ,353 ,66 ,347 ,17 ,78 ,20 ,125 ,,,,,,,,,62 ,305 ,,,,,2 ,14 ,3 ,23 ,177 ,"1,245 ",52 ,156 ,"11,558 ","5,087 ",100 ,42 ,,,773 ,298 ,,,71 ,31 ,770 ,"1,301 ",64 ,17 ,124 ,232 ,197 ,"1,058 ","1,032 ","13,220 ","1,688 ","12,851 ",318 ,"3,437 ",4 ,18 ,"1,639 ",521 ,386 ,"1,339 ",99 ,185 ,33 ,165 ,182 ,"304,588 "
MATARA,3 ,3 ,3 ,3 ,,,,,4 ,3 ,1 ,1 ,,,,,,,,,339 ,"5,016 ",112 ,"1,001 ",,,,,,,78 ,126 ,1 ,0 ,,,,,33 ,348 ,82 ,487 ,100 ,647 ,47 ,314 ,27 ,224 ,17 ,90 ,6 ,43 ,,,,,1 ,1 ,1 ,2 ,77 ,661 ,1 ,1 ,,,3 ,12 ,8 ,92 ,188 ,"1,275 ",29 ,89 ,"7,239 ","4,112 ",257 ,127 ,,,"1,135 ",560 ,,,288 ,145 ,927 ,927 ,188 ,56 ,63 ,277 ,134 ,"1,577 ","1,352 ","13,216 ","2,542 ","15,954 ",321 ,"3,654 ",1 ,4 ,"1,362 ","1,074 ",219 ,"1,105 ",79 ,582 ,9 ,63 ,80 ,"136,527 "
HAMBANTOTA ,78 ,113 ,261 ,336 ,,,,,131 ,193 ,33 ,37 ,,,,,89 ,56 ,55 ,73 ,302 ,"4,028 ",45 ,308 ,,,14 ,116 ,,,270 ,574 ,,,12 ,29 ,,,164 ,"2,082 ",168 ,"2,493 ",248 ,"3,647 ",174 ,"2,541 ",101 ,"1,593 ",74 ,"1,218 ",113 ,"1,414 ",,,,,,,,,28 ,311 ,,,,,32 ,496 ,205 ,"3,244 ",190 ,"3,093 ",8 ,26 ,"2,485 ","1,516 ",117 ,65 ,,,"1,862 ","1,302 ",,,12 ,3 ,353 ,480 ,884 ,226 ,226 ,"1,068 ",529 ,"10,083 ","1,187 ","23,699 ","2,155 ","13,933 ",297 ,"4,237 ",,,"2,548 ","2,076 ",551 ,"4,637 ",107 ,"1,075 ",11 ,118 ,19 ,"11,360 "
JAFFNA,138 ,125 ,7 ,13 ,,,4 ,3 ,72 ,58 ,9 ,12 ,,,12 ,8 ,111 ,79 ,20 ,9 ,230 ,"2,644 ",1 ,7 ,,,446 ,"3,925 ",28 ,316 ,177 ,297 ,,,,,33 ,58 ,2 ,10 ,85 ,753 ,134 ,"1,241 ",57 ,351 ,43 ,364 ,56 ,539 ,3 ,14 ,40 ,346 ,51 ,389 ,,,46 ,480 ,2 ,14 ,,,17 ,160 ,27 ,252 ,74 ,817 ,102 ,926 ,16 ,82 ,,,,,,,,,,,,,54 ,34 ,,,45 ,185 ,114 ,"1,753 ",416 ,"4,981 ",237 ,294 ,22 ,55 ,1 ,54 ,453 ,473 ,52 ,321 ,,,,,28 ,"3,795 "
