DISTRICT,KURAKKAN Area Hec. ,KURAKKAN Prod. M.T. ,MAIZE Area Hec. ,MAIZE Prod. M.T. ,SORGHUM Area Hec. ,SORGHUM Prod. M.T. ,MENERI Area Hec. ,MENERI Prod. M.T. ,GREEN GRAM Area Hec. ,GREEN GRAM Prod. M.T. ,COWPEA Area Hec. ,COWPEA Prod. M.T. ,SOYA BEANS Area Hec. ,SOYA BEANS Prod. M.T. ,BLACK GRAM Area Hec. ,BLACK GRAM Prod. M.T. ,GINGELLY Area Hec. ,GINGELLY Prod. M.T. ,GROUND NUTS Area Hec. ,GROUND NUTS Prod. M.T. ,MANIOC Area Hec. ,MANIOC Prod. M.T. ,SWEET POTATOES Area Hec. ,SWEET POTATOES Prod. M.T. ,POTATOES Area Hec. ,POTATOES Prod. M.T. ,RED ONIONS Area Hec. ,RED ONIONS Prod. M.T. ,BIG ONIONS Area Hec. ,BIG ONIONS Prod. M.T. ,CHILLIES (GREEN) Area Hec. ,CHILLIES (GREEN) Prod. M.T. ,MUSTERD Area Hec. ,MUSTERD Prod. M.T. ,CIGAR. TOBACCO Area Hec. ,CIGAR. TOBACCO Prod. M.T. ,BEEDI/CIGAR TOBA Area Hec. ,BEEDI/CIGAR TOBA Prod. M.T. ,LUFFA Area Hec. ,LUFFA Prod. M.T.,BANDAKKA Area Hec. ,BANDAKKA Prod. M.T.,BRINJALS Area Hec. ,BRINJALS Prod. M.T.,BITTER GOURD Area Hec. ,BITTER GOURD Prod. M.T.,SNAKE GOURD Area Hec. ,SNAKE GOURD Prod. M.T. ,TOMATOES Area Hec.,TOMATOES Prod. M.T. ,CUCUMBER Area Hec.,CUCUMBER Prod. M.T.,CABBAGE Area Hec. ,CABBAGE Prod. M.T.,CARROT Area Hec. ,CARROT Prod. M.T.,KNOLKHOL Area Hec. ,KNOLKHOL Prod. M.T.,BEETROOT Area Hec. ,BEETROOT Prod. M.T.,RADDISH Area Hec. ,RADDISH Prod. M.T.,BEANS Area Hec.,BEANS Prod. M.T. ,LEEKS Area Hec. ,LEEKS Prod. M.T.,ASH PUMPKIN Area Hec. ,ASH PUMPKIN Prod. M.T.,RED PUMPKIN Area Hec. ,RED PUMPKIN Prod. M.T.,ASH PLANTAIN Area Hec. ,ASH PLANTAIN Prod. M.T.,CAPSICUM Area Hec. ,CAPSICUM Prod. M.T. ,CINNAMON Area Hec. ,CINNAMON Prod. M.T. ,COFFEE Area Hec. ,COFFEE Prod. M.T. ,COCOA Area Hec. ,COCOA Prod. M.T. ,PEPPER Area Hec. ,PEPPER Prod. M.T. ,CARDAMOMS Area Hec. ,CARDAMOMS Prod. M.T. ,CLOVES Area Hec. ,CLOVES Prod. M.T. ,ARECANUT Area Hec. ,ARECANUT Prod. M.T. ,CASHEW Area Hec. ,CASHEW Prod. M.T. ,ORANGES Area Hec. ,ORANGES Prod. '000 Nuts,LIMES Area Hec. ,LIMES Prod. '000 Nuts,MANGOES Area Hec. ,MANGOES Prod. '000 Nuts,JAK Area Hec. ,JAK Prod. '000 Nuts,BREAD FRUIT Area Hec. ,BREAD FRUIT Prod. '000 Nuts,SUGAR CANE Area Hec. ,SUGAR CANE Prod.M.T. ,PLANTAIN Area Hec. ,PLANTAIN Prod. 000 Bchs.,PAPAW Area Hec. ,PAPAW Prod. '000 Nuts,PINE APPLE Area Hec. ,PINE APPLE Prod. '000 Nuts,PASSION FRUIT Area Hec. ,PASSION FRUIT Prod. '000 Nuts,BETEL Area Hec. ,BETEL Prod. '000 Lvs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALUTARA ,,,,,,,,,,,,,,,,,,,,,486 ,"5,726 ",122 ,846 ,,,,,,,111 ,214 ,,,,,,,6 ,58 ,,,117 ,970 ,169 ,"1,069 ",178 ,"1,110 ",90 ,735 ,91 ,653 ,6 ,32 ,26 ,280 ,,,,,,,,,29 ,428 ,,,,,1 ,13 ,,,70 ,492 ,18 ,92 ,6 ,57 ,,,,,,,,,"2,311 ","1,069 ",229 ,147 ,1 ,0 ,529 ,317 ,2 ,0 ,22 ,13 ,654 ,520 ,43 ,11 ,50 ,133 ,212 ,"1,258 ",897 ,"17,178 ","1,412 ","9,178 ",266 ,"3,211 ",2 ,21 ,"1,353 ",952 ,315 ,"2,828 ",133 ,"1,112 ",67 ,"1,439 ",198 ,"131,545 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KANDY,62 ,168 ,140 ,433 ,3 ,5 ,,,26 ,124 ,24 ,101 ,,,,,6 ,10 ,,,450 ,"7,598 ",109 ,"1,184 ",1 ,12 ,29 ,345 ,,,160 ,675 ,6 ,3 ,64 ,99 ,,,8 ,103 ,,,95 ,"1,042 ",124 ,"1,445 ",194 ,"2,701 ",103 ,"1,428 ",98 ,"1,523 ",381 ,"3,431 ",46 ,672 ,294 ,"5,454 ",67 ,816 ,51 ,375 ,33 ,382 ,150 ,"2,175 ",577 ,"2,316 ",62 ,978 ,3 ,72 ,62 ,"1,155 ",113 ,"1,470 ",72 ,284 ,11 ,48 ,,,2 ,13 ,,,,,108 ,42 ,"2,198 ","1,612 ",483 ,260 ,"6,983 ","4,774 ",479 ,201 ,"3,271 ","1,963 ","2,337 ","3,345 ",106 ,27 ,280 ,820 ,238 ,"2,163 ","2,003 ","27,873 ","4,353 ","8,646 ",760 ,"4,882 ",9 ,24 ,"3,384 ","2,273 ",495 ,"2,583 ",45 ,155 ,67 ,714 ,89 ,"18,770 ",121 ,"8,120 ",91 ,"3,130 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATALE ,9 ,17 ,188 ,425 ,4 ,4 ,,,143 ,299 ,13 ,19 ,69 ,102 ,5 ,7 ,30 ,23 ,42 ,96 ,230 ,"2,931 ",494 ,"3,745 ",,,6 ,34 ,"1,579 ","19,218 ",300 ,"1,229 ",4 ,4 ,402 ,619 ,3 ,4 ,,,,,206 ,"2,735 ",132 ,968 ,163 ,"1,050 ",105 ,"1,000 ",90 ,789 ,461 ,"4,916 ",133 ,"1,456 ",218 ,"2,688 ",3 ,27 ,95 ,763 ,242 ,"2,489 ",35 ,267 ,218 ,"1,211 ",4 ,19 ,4 ,31 ,350 ,"3,260 ",70 ,452 ,145 ,453 ,62 ,390 ,2 ,7 ,47 ,209 ,3 ,14 ,5 ,26 ,281 ,111 ,875 ,508 ,834 ,753 ,"6,683 ","5,609 ",356 ,234 ,689 ,526 ,"1,170 ","2,481 ",703 ,183 ,261 ,"1,692 ",341 ,"3,770 ","1,073 ","19,625 ","1,902 ","11,590 ",245 ,"2,345 ",10 ,103 ,"1,738 ","1,153 ",244 ,"1,559 ",18 ,156 ,2 ,36 ,57 ,"54,409 ",,,4 ,33 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUWARA ELIYA ,136 ,68 ,203 ,142 ,,,,,7 ,9 ,12 ,14 ,5 ,4 ,,,3 ,3 ,3 ,5 ,178 ,"2,072 ",71 ,688 ,355 ,"5,534 ",60 ,476 ,,,133 ,350 ,3 ,2 ,,,,,,,,,13 ,114 ,48 ,233 ,231 ,972 ,55 ,597 ,23 ,236 ,789 ,"8,482 ",39 ,453 ,933 ,"9,238 ","1,045 ","12,583 ",248 ,"2,696 ",493 ,"5,400 ",424 ,"5,383 ",831 ,"2,135 ",932 ,"16,490 ",,,43 ,439 ,62 ,245 ,153 ,517 ,,,,,,,,,,,17 ,1 ,"1,048 ",561 ,50 ,4 ,817 ,370 ,304 ,51 ,378 ,119 ,487 ,414 ,78 ,12 ,138 ,"1,363 ",131 ,"2,122 ",479 ,"8,566 ","1,021 ","8,504 ",157 ,"1,996 ",8 ,**,"1,003 ",588 ,125 ,514 ,12 ,71 ,9 ,188 ,55 ,"53,815 ",,,2 ,24 ,,,2 ,16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GALLE,,,,,,,,,,,,,,,,,,,,,570 ,"2,587 ",216 ,"1,029 ",,,,,,,66 ,86 ,5 ,3 ,,,,,38 ,149 ,,,121 ,925 ,172 ,767 ,182 ,860 ,86 ,314 ,86 ,429 ,26 ,117 ,23 ,146 ,,,,,,,,,71 ,309 ,,,,,5 ,32 ,11 ,76 ,196 ,"1,341 ",55 ,152 ,31 ,84 ,10 ,21 ,20 ,42 ,,,,,"11,674 ","5,235 ",102 ,43 ,,,837 ,312 ,15 ,3 ,74 ,30 ,707 ,"1,158 ",72 ,20 ,138 ,305 ,239 ,"1,148 ",979 ,"12,533 ","1,651 ","16,137 ",316 ,"3,427 ",2 ,10 ,"1,709 ",555 ,426 ,"1,417 ",112 ,235 ,31 ,114 ,202 ,"283,413 ",50 ,"4,789 ",12 ,110 ,1 ,35 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATARA,4 ,7 ,3 ,4 ,,,,,3 ,4 ,,,,,,,,,,,363 ,"4,664 ",99 ,860 ,,,,,,,100 ,284 ,,,,,,,3 ,21 ,,,47 ,424 ,118 ,601 ,134 ,"1,300 ",73 ,757 ,41 ,426 ,33 ,222 ,9 ,86 ,2 ,10 ,1 ,4 ,,,,,80 ,778 ,6 ,24 ,,,,,6 ,94 ,194 ,"1,986 ",51 ,165 ,31 ,172 ,,,8 ,27 ,,,,,"7,714 ","4,613 ",278 ,158 ,,,"1,127 ",873 ,,,270 ,187 ,949 ,"1,045 ",170 ,41 ,77 ,450 ,150 ,"1,654 ","1,167 ","15,189 ","2,603 ","17,014 ",357 ,"4,046 ",1 ,10 ,"1,617 ","1,100 ",276 ,"1,292 ","1,364 ",621 ,7 ,45 ,93 ,"165,750 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMBANTOTA ,90 ,127 ,124 ,194 ,7 ,10 ,2 ,1 ,"1,552 ","2,356 ",49 ,62 ,,,,,67 ,42 ,65 ,76 ,384 ,"4,669 ",67 ,527 ,,,12 ,90 ,1 ,28 ,327 ,"1,653 ",3 ,,6 ,8 ,,,36 ,279 ,,,196 ,"3,067 ",224 ,"3,297 ",379 ,"5,662 ",187 ,"2,819 ",173 ,"2,907 ",164 ,"1,606 ",137 ,"2,107 ",1 ,18 ,,,,,,,78 ,810 ,1 ,2 ,,,33 ,495 ,227 ,"3,954 ",455 ,"7,205 ",39 ,111 ,73 ,865 ,35 ,542 ,16 ,168 ,,,,,"2,840 ","1,778 ",104 ,55 ,,,"1,892 ","1,283 ",,,47 ,24 ,533 ,717 ,976 ,265 ,336 ,"1,540 ",735 ,"12,672 ","1,682 ","31,943 ","2,251 ","15,672 ",383 ,"3,715 ",2 ,12 ,"4,883 ","3,212 ","2,079 ","16,095 ",127 ,"1,605 ",16 ,208 ,44 ,"47,550 ",9 ,240 ,11 ,156 ,7 ,21 ,1 ,25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAFFNA,113 ,100 ,5 ,5 ,,,2 ,1 ,69 ,50 ,9 ,6 ,1 ,,7 ,4 ,76 ,56 ,14 ,7 ,213 ,"2,334 ",,,,,627 ,"5,674 ",56 ,519 ,162 ,259 ,,,,,42 ,71 ,,,,,1 ,9 ,94 ,809 ,133 ,"1,185 ",62 ,542 ,47 ,445 ,61 ,594 ,5 ,19 ,52 ,516 ,55 ,450 ,,,57 ,718 ,2 ,12 ,8 ,56 ,16 ,148 ,30 ,317 ,68 ,736 ,110 ,970 ,20 ,82 ,44 ,334 ,,,,,,,,,,,,,,,,,,,,,66 ,48 ,26 ,10 ,49 ,142 ,121 ,"1,771 ",425 ,"4,578 ",217 ,254 ,21 ,50 ,1 ,1 ,498 ,493 ,61 ,431 ,,,,,20 ,"2,372 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANNAR,,,4 ,6 ,,,,,18 ,20 ,11 ,14 ,1 ,1 ,12 ,14 ,17 ,8 ,9 ,9 ,24 ,560 ,4 ,33 ,2 ,14 ,50 ,265 ,5 ,42 ,70 ,148 ,,,,,,,,,,,,,25 ,372 ,44 ,"1,026 ",10 ,80 ,10 ,104 ,22 ,413 ,4 ,31 ,3 ,75 ,2 ,20 ,,,3 ,64 ,,,3 ,20 ,,,9 ,122 ,10 ,131 ,19 ,383 ,23 ,139 ,1 ,6 ,,,,,,,,,,,,,,,,,,,,,1 ,0 ,58 ,18 ,16 ,67 ,32 ,277 ,60 ,"1,290 ",21 ,13 ,1 ,4 ,,,105 ,58 ,28 ,96 ,,,,,4 ,912 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAVUNIYA ,11 ,6 ,28 ,97 ,,,,,16 ,14 ,23 ,20 ,,,14 ,20 ,147 ,88 ,357 ,389 ,62 ,941 ,,,,,734 ,"11,637 ",21 ,217 ,152 ,859 ,1 ,1 ,,,57 ,103 ,,,,,10 ,97 ,43 ,614 ,133 ,"2,534 ",40 ,796 ,23 ,496 ,36 ,692 ,1 ,17 ,14 ,311 ,6 ,74 ,,,14 ,252 ,1 ,10 ,9 ,45 ,,,18 ,274 ,41 ,183 ,56 ,614 ,29 ,212 ,25 ,111 ,,,,,,,,,,,,,,,,,,,,,58 ,26 ,26 ,,84 ,222 ,136 ,"1,556 ",219 ,"3,914 ",167 ,445 ,274 ,"1,345 ",86 ,376 ,,,,,,,,,5 ,"1,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
