DISTRICT, KURAKKAN  KURAKKAN AREA, KURAKKAN  KURAKKAN PROD., MAIZE AREA  Hect., MAIZE PROD  M.T., SORGHUM AREA  Hect., SORGHUM PROD  M.T., MENERI AREA  Hect., MENERI PROD  M.T.,GREEN GRAM AREA  Hect.,GREEN GRAM PROD  M.T.,COWPEA AREA  Hect.,COWPEA PROD  M.T.,SOYA BEANS AREA  Hect.,SOYA BEANS PROD  M.T.,BLACK GRAM AREA  Hect.,BLACK GRAM PROD  M.T.,DHALL AREA  Hect.,DHALL PROD  M.T., GINGELLY AREA  Hect., GINGELLY PROD  M.T.,GROND NUTS AREA  Hect.,GROND NUTS PROD  M.T.,MANIOC AREA  Hect.,MANIOC PROD  M.T., SWEET POTATOES AREA  Hect., SWEET POTATOES PROD  M.T.,POTATOES AREA  Hect.,POTATOES PROD  M.T.,RED ONIONS AREA  Hect.,RED ONIONS PROD  M.T., BIG ONIONS AREA  Hect., BIG ONIONS PROD  M.T.,CHILLIES (GREEN) AREA  Hect.,CHILLIES (GREEN) PROD  M.T.,MUSTARDA REA  Hect.,MUSTARD PROD  M.T.,GINGER (RAW) AREA  Hect.,GINGER (RAW) PROD  M.T.,TUMERIC (RAW) AREA  Hect.,TUMERIC (RAW) PROD  M.T.,CIGAR.  TOBAC. AREA  Hect.,CIGAR.  TOBAC. PROD  M.T.,BEEDI/CHEW. TOBAC. AREA  Hect.,BEEDI/CHEW. TOBAC. PROD  M.T.,LUFFA AREA  Hect.,LUFFA PROD  M.T.,BANDAKKA AREA  Hect.,BANDAKKA PROD  M.T.,BRINJALS AREA  Hect.,BRINJALS PROD  M.T.,BITTER GOURD AREA  Hect.,BITTER GOURD PROD  M.T.,SNAKE GOURD AREA  Hect.,SNAKE GOURD PROD  M.T.,TOMATOES AREA  Hect.,TOMATOES PROD  M.T.,CUCUMBER AREA  Hect.,CUCUMBER PROD  M.T.,CABBAGE AREA  Hect.,CABBAGE PROD  M.T.,CARROT AREA  Hect.,CARROT PROD  M.T.,KNOLKHOL AREA  Hect.,KNOLKHOL PROD  M.T.,BEETROOT AREA  Hect.,BEETROOT PROD  M.T.,RADDISH AREA  Hect.,RADDISH PROD  M.T.,BEANS AREA  Hect.,BEANS PROD  M.T.,LEEKS AREA  Hect.,LEEKS PROD  M.T.,ASH PUMPKIN AREA  Hect.,ASH PUMPKIN PROD  M.T.,RED PUMPKIN AREA  Hect.,PROD  M.T.,ASH PLANTAIN AREA  Hect.,ASH PLANTAIN PROD  M.T.,CAPSICUM AREA  Hect.,CAPSICUM PROD  M.T.
COLOMBO ,,,,,,,,,,,,,,,,,,,,,,,267 ,2019 ,27 ,172 ,,,,,,,26 ,53 ,,,79 ,621 ,7 ,49 ,,,,,4 ,40 ,56 ,252 ,103 ,581 ,31 ,192 ,38 ,273 ,2 ,11 ,35 ,304 ,,,,,,,,,2 ,14 ,,,,,,,1 ,6 ,22 ,134 ,4 ,13 
GAMPAHA ,,,,,,,,,,,,,,,,,,,,,,,849 ,8246 ,127 ,772 ,,,,,,,67 ,95 ,,,223 ,1420 ,66 ,423 ,,,,,20 ,128 ,87 ,636 ,78 ,911 ,36 ,373 ,29 ,287 ,5 ,37 ,6 ,62 ,,,,,,,,,7 ,46 ,,,,,1 ,65 ,4 ,53 ,111 ,926 ,28 ,94 
KALUTARA,,,,,,,,,,,,,,,,,,,,,,,419 ,4930 ,109 ,825 ,,,,,,,55 ,149 ,,,85 ,630 ,25 ,171 ,,,,,18 ,200 ,115 ,354 ,102 ,907 ,58 ,570 ,43 ,415 ,2 ,13 ,12 ,86 ,,,,,,,,,20 ,203 ,,,,,2 ,14 ,1 ,9 ,65 ,731 ,14 ,42 
KANDY,156 ,202 ,247 ,370 ,19 ,17 ,,,18 ,24 ,50 ,59 ,2 ,1 ,2 ,2 ,,,27 ,16 ,4 ,5 ,440 ,6110 ,117 ,862 ,14 ,148 ,26 ,276 ,,,152 ,455 ,8 ,4 ,214 ,1392 ,166 ,1161 ,182 ,273 ,,,25 ,178 ,178 ,1498 ,195 ,2638 ,148 ,2075 ,93 ,1415 ,530 ,5677 ,69 ,665 ,218 ,3643 ,135 ,1469 ,52 ,313 ,25 ,234 ,103 ,1164 ,451 ,1397 ,71 ,775 ,4 ,33 ,61 ,871 ,117 ,1191 ,59 ,263 
MATALE,183 ,125 ,365 ,362 ,13 ,9 ,,,44 ,36 ,38 ,34 ,16 ,8 ,7 ,6 ,,,68 ,31 ,93 ,204 ,358 ,2636 ,373 ,2476 ,,,13 ,51 ,93 ,419 ,386 ,1788 ,35 ,24 ,29 ,154 ,54 ,158 ,146 ,220 ,9 ,10 ,49 ,342 ,163 ,1159 ,283 ,2455 ,155 ,1222 ,112 ,862 ,314 ,2365 ,170 ,1823 ,141 ,2410 ,2 ,21 ,30 ,213 ,49 ,376 ,45 ,348 ,593 ,1933 ,1 ,2 ,10 ,46 ,173 ,1857 ,161 ,1654 ,89 ,272 
NUWARA ELIYA,211 ,114 ,211 ,165 ,,,,,2 ,2 ,8 ,8 ,3 ,2 ,4 ,2 ,,,8 ,7 ,1 ,1 ,240 ,2780 ,87 ,763 ,341 ,5741 ,105 ,640 ,,,145 ,350 ,9 ,8 ,111 ,532 ,100 ,496 ,39 ,31 ,,,1 ,6 ,55 ,266 ,160 ,806 ,60 ,497 ,18 ,207 ,527 ,6122 ,42 ,397 ,816 ,14443 ,1043 ,11797 ,246 ,2670 ,507 ,5938 ,436 ,5225 ,993 ,3737 ,685 ,10122 ,1 ,11 ,41 ,648 ,59 ,314 ,403 ,2137 
GALLE,,,,,,,,,,,,,,,,,,,,,,,450 ,1710 ,163 ,699 ,,,,,,,37 ,48 ,,,56 ,220 ,27 ,31 ,,,,,6 ,41 ,140 ,315 ,135 ,504 ,53 ,171 ,26 ,134 ,4 ,7 ,5 ,20 ,,,,,,,,,13 ,56 ,,,,,,,3 ,15 ,181 ,1346 ,35 ,140 
MATARA ,4 ,3 ,1 ,1 ,,,,,2 ,2 ,1 ,1 ,,,,,,,,,,,339 ,3317 ,99 ,656 ,,,,,,,44 ,46 ,,,47 ,216 ,37 ,171 ,,,,,1 ,6 ,62 ,309 ,71 ,404 ,36 ,123 ,13 ,52 ,8 ,39 ,7 ,27 ,,,,,,,,,50 ,194 ,1 ,2 ,,,1 ,11 ,11 ,34 ,127 ,982 ,17 ,55 
HAMBANTOTA,517 ,310 ,459 ,386 ,29 ,24 ,6 ,3 ,894 ,855 ,364 ,277 ,,,,,,,1101 ,693 ,280 ,421 ,327 ,2917 ,56 ,369 ,,,23 ,129 ,3 ,15 ,515 ,2006 ,19 ,7 ,5 ,13 ,5 ,19 ,10 ,10 ,,,106 ,960 ,186 ,1489 ,271 ,2915 ,219 ,2223 ,166 ,2096 ,158 ,1457 ,143 ,1656 ,,,,,,,,,23 ,194 ,,,,,46 ,414 ,244 ,3642 ,423 ,4400 ,14 ,51 
JAFFNA ,15 ,9 ,3 ,1 ,,,7 ,5 ,55 ,40 ,9 ,5 ,,,25 ,17 ,,,32 ,46 ,6 ,3 ,241 ,2699 ,2 ,20 ,55 ,497 ,530 ,5301 ,5 ,56 ,318 ,1010 ,,,,,,,,,515 ,798 ,,,83 ,623 ,121 ,965 ,51 ,271 ,40 ,293 ,60 ,479 ,5 ,35 ,47 ,422 ,50 ,348 ,,,41 ,301 ,,,45 ,314 ,19 ,122 ,17 ,68 ,54 ,420 ,110 ,637 ,12 ,53 
