DISTRICT, KURAKKAN AREA Hect., KURAKKAN PROD M.T.,MAIZE AREA Hect.,MAIZE PROD M.T.,SORGHUM AREA Hect.,SORGHUM PROD M.T., MENERI AREA Hect., MENERI PROD M.T.,GREEN GRAM AREA Hect.,GREEN GRAM PROD M.T.,COWPEA AREA Hect.,COWPEA PROD M.T.,SOYA BEANS AREA Hect.,SOYA BEANS PROD M.T.,BLACK GRAM AREA Hect.,BLACK GRAM PROD M.T.,GINGELLY AREA Hect.,GINGELLY PROD M.T.,GROUND NUTS AREA Hect.,GROUND NUTS PROD M.T.,MANIOC AREA Hect.,MANIOC PROD M.T.,SWEET POTATOES AREA Hect.,SWEET POTATOES PROD M.T.,POTATOES AREA Hect.,POTATOES PROD M.T.,RED ONIONS AREA Hect.,RED ONIONS PROD M.T., BIG ONIONS AREA Hect., BIG ONIONS PROD M.T.,CHILLIES (GREEN) AREA Hect.,CHILLIES (GREEN) PROD M.T.,MUSTARD AREA Hect.,MUSTARD PROD M.T.,GINGER (RAW) AREA Hect.,GINGER (RAW) PROD M.T.,TURMERIC (RAW) AREA Hect.,TURMERIC (RAW) PROD M.T.,CIGAR.  TOBAC. AREA Hect.,CIGAR.  TOBAC. PROD M.T.,BEEDI/CHEW. TOBAC. AREA Hect.,BEEDI/CHEW. TOBAC. PROD M.T.,LUFFA AREA Hect.,LUFFA PROD M.T.,BANDAKKA AREA Hect.,BANDAKKA PROD M.T.,BRINJALS AREA Hect.,BRINJALS PROD M.T.,BITTER GOURD AREA Hect.,BITTER GOURD PROD M.T.,SNAKE GOURD AREA Hect.,SNAKE GOURD PROD M.T.,TOMATOES AREA Hect.,TOMATOES PROD M.T.,CUCUMBER AREA Hect.,CUCUMBER PROD M.T.,CABBAGE AREA Hect.,CABBAGE PROD M.T.,CARROT AREA Hect.,CARROT PROD M.T.,KNOLKHOL AREA Hect.,KNOLKHOL PROD M.T.,BEETROOT AREA Hect.,BEETROOT PROD M.T.,RADISH AREA Hect.,RADISH PROD M.T.,BEANS AREA Hect.,BEANS PROD M.T.,LEEKS AREA Hect.,LEEKS PROD M.T.,ASH PUMPKIN AREA Hect.,ASH PUMPKIN PROD M.T.,RED PUMPKIN AREA Hect.,RED PUMPKIN PROD M.T.,ASH PLANTAIN AREA Hect.,ASH PLANTAIN PROD M.T.,CAPSICUM AREA Hect.,CAPSICUM PROD M.T.
COLOMBO ,,,,,,,,,,,,,,,,,,,,,276.41,2964,24.45,161,,,,,,,29.24,67,,,83.6,978,8.26,79,,,,,33.46,325,58.5,643,90.57,1214,30.71,414,40.45,585,3.21,36,28.59,357,11.13,83,,,,,,,15.85,59,,,,,0.91,9,2.33,31,35.25,465,7.04,18
GAMPAHA ,2,3,1,1,,,,,,,,,,,,,,,,,977.63,10132,124.8,957,,,,,,,104.86,253,,,230.29,1939,68.05,743,,,,,82.15,565,116.73,820,110.91,1052,58.3,525,52.38,516,20.2,133,11.3,123,1.3,10,,,,,,,23.18,128,1.68,7,,,1.85,19,10.25,85,140.73,1363,44.07,133
KALUTARA,,,,,,,,,,,,,,,,,,,,,531.8716633,6592,105.7436099,876,,,,,,,104.1267503,347,,,107.1184379,768,28.10347228,200,,,,,101.2051113,787,156.8794253,1022,174.7637434,1235,78.73905301,408,90.00088223,525,13.44,47,28.47624039,224,,,,,,,,,34.19314448,246,,,,,2.17009308,13,1.007041684,5,77.44261837,560,42.31807365,178
KANDY,190.3,337,237.6,645,8.2,11,,,30.3,53,22.3,36,0.6,1,,,30.7,19,2.8,4,527.1,7063,128,857,1.4,14,40,474,,,169.6,842,10.7,13,334.4,2591,291.8,3021,153.7,250,,,88.4,992,121.5,1735,218.2,2585,123.7,1297,82,1151,476,5409,58.4,614,199.9,3156,66.3,555,45.3,407,32.1,286,141.9,1638,696,3476,29.5,182,4.8,52,84.8,1291,132.3,1662,52.7,251
MATALE,208.820603,322,336.8077661,783,13.96195872,18,,,36.92959126,67,23.77110482,35,12.14083367,18,0.708215297,1,28.1299312,19,47.24751518,97,349.2300243,3690,391.6778551,2043,,,2.018777823,14,6.170416835,62,281.5467867,1219,14.16491704,11,43.08409146,246,72.11857143,673,18.61430595,24,16.99716714,31,129.8029826,871,132.4080656,1070,180.1480089,940,76.77246864,557,72.15711858,539,206.7787454,1683,57.2607932,498,91.76522461,999,2.630513962,19,25.43218535,158,18.75758802,175,20.76378389,277,443.463537,2178,,,1.416430595,12,147.1291137,1254,96.86794011,708,67.65277216,205
NUWARA ELIYA,359,239,327,320,2,2,,,2,2,28,32,21,24,1,1,6,6,,,268,4277,84,1149,353,5887,86,516,,,239,558,11,10,139,653,123,541,36,34,,,138,814,51,176,100,536,209,1612,44,492,664,7968,234,2434,614,11543,847,9571,234,2458,675,8370,468,6926,890,3026,585,9244,24,24,143,2503,42,221,254,1092
GALLE,,,0.5,1,,,,,,,,,,,,,,,,,536.115,4292,190.17,1420,,,,,,,54.50234723,175,0.81,,82.241,467,44.504,223,,,,,124.68,1157,189.73,1139,210.83,1392,74.415,553,84.68,851,21.39,138,23.53,154,,,,,,,,,72.27,586,,,,,2.8,21,3.299736949,23,227.583,1994,54.7,212
MATARA ,3.8,5,4.4,16,,,,,2.2,2,,,,,,,,,,,413.567758,5795,145.6843545,1237,,,,,,,105.292849,271,,,83.23998381,867,54.34915014,668,,,,,41.06087009,373,124.016297,807,162.1212626,1447,58.54936868,633,38.56,414,26.01309591,163,6.14,44,,,0.841116957,4,,,,,104.9007244,1120,4.843949818,21,,,1.9,23,8.21,103,228.2533333,1554,49.86036423,182
HAMBANTOTA,529,851,553,912,9,12,,,1077,1460,416,498,,,,,706,446,307,384,511,7159,74,624,,,37,257,1,4,683,2281,,,19,19,10,12,11,27,,,348,5098,315,3217,514,6583,270,3967,217,3108,281,3331,253,2905,,,,,,,,,36,270,,,,,44,627,420,5996,356,5200,26,146
JAFFNA ,131.989,101,36.90383333,34,,,6.44,2,117.813,68,66.03,33,,,77.77,38,417.323,234,12.66,11,329.271,4767,0.8,20,32.778,272,679.086,9063,73.679,548,340.575,635,,,,,,,6.87,10,704.387,1210,4.12,15,132.234,948,222.441,1684,95.50266667,503,72.88,551,116.575,836,9.951,38,60.833,875,67.576,659,,,61.631,672,3.84,25,37.172,244,27.914,195,43.857,293,126.061,1024,165.882,1328,31.069,102
